filetype	tag	column	name	qtype	datatype	nulls	note
Orders	IsRerouted	is_rerouted	is_rerouted	s	boolean	1	True/False
Orders	RootPerfID	root_perf_id	root_perf_id	*	varchar(100)	1	
Orders	IsDrop	is_drop	is_drop	s	boolean	1	True/False
Orders	IsProxyOrder	is_proxy_order	is_proxy_order	s	boolean	1	True/False
Orders	HandlInst	handl_inst	handl_inst	s	varchar(200)	1	AutomatedPrivate, AutomatedPublic, Manual
Orders	PairsID	pairs_id	pairs_id	*	varchar(200)	1	id string, e.g. e3061b91-112-000j or 515DF1_165, only for pairs
Orders	PairsDealType	pairs_deal_type	pairs_deal_type	j	number(38,0)	1	
Orders	OmsLatestOrderID	oms_latest_order_id	oms_latest_order_id	*	varchar(100)	1	
Orders	SystemLatestOrderID	system_latest_order_id	system_latest_order_id	*	varchar(100)	1	
Orders	RouteOrderID	route_order_id	route_order_id	*	varchar(100)	1	
Orders	Discretion	discretion	discretion	f	number(28,14)	1	
Orders	DiscretionInstr	discretion_instr	discretion_instr	s	varchar(100)	1	DisplayedPrice
Orders	PegOffset	peg_offset	peg_offset	f	number(28,14)	1	
Orders	MinFillQuantity	min_fill_quantity	min_fill_quantity	f	number(28,14)	1	
Orders	MinParticipation	min_participation	min_participation	f	number(28,14)	1	
Orders	MaxParticipation	max_participation	max_participation	f	number(28,14)	1	
Orders	ParticipationStart	participation_start	participation_start	f	number(28,14)	1	
Orders	Complete	complete	complete	s	boolean	1	True/False
Orders	SilentMode	silent_mode	silent_mode	s	boolean	1	True/False
Orders	Auctions	auctions	auctions	s	varchar(100)	1	All, Close, Open, None
Orders	PriceTrigger	price_trigger	price_trigger	f	number(28,14)	1	
Orders	CycleTime	cycle_time	cycle_time	f	number(28,14)	1	
Orders	AggressiveLevel	aggressive_level	aggressive_level	s	varchar(100)	1	
Orders	StopPrice	stop_price	stop_price	f	number(28,14)	1	
Orders	OrderType	order_type	order_type	s	varchar(100)	1	Order type, e.g. Market, Limit, Pegged
Orders	ExecInstr	exec_instr	exec_instr	*	varchar(1000)	1	Execution instructions, one or more of key words, e.g. MarketPeg, MidPricePeg, Strictlimit
Orders	ShowSize	show_size	show_size	f	number(28,14)	1	
Orders	ShortLocate	short_locate	short_locate	*	varchar(100)	1	
Orders	Strategy	strategy	strategy	s	varchar(100)	1	
Orders	TimeInForce	time_in_force	time_in_force	s	varchar(50)	1	
Orders	Capacity	capacity	capacity	s	varchar(50)	1	Agency, Principal
Orders	ExpireTime	expire_time	expire_time	p	timestamp_ntz(6)	1	
Orders	EffectiveTime	effective_time	effective_time	p	timestamp_ntz(6)	1	
Orders	OrderFinished	order_finished	order_finished	p	timestamp_ntz(6)	1	
Orders	OrderStarted	order_started	order_started	p	timestamp_ntz(6)	1	
Orders	Status	status	status	s	varchar(50)	1	Status, e.g. New, Filled, Cancelled
Orders	IsLive	is_live	is_live	s	boolean	1	True/False
Orders	IsFilled	is_filled	is_filled	s	boolean	1	True/False
Orders	IsCanceled	is_canceled	is_canceled	s	boolean	1	True/False
Orders	IsRejected	is_rejected	is_rejected	s	boolean	1	True/False
Orders	IsPending	is_pending	is_pending	s	boolean	1	True/False
Orders	IsAccepted	is_accepted	is_accepted	s	boolean	1	True/False
Orders	LegFirstExecution	overall_first_execution	overall_first_execution	p	timestamp_ntz(6)	1	
Orders	LegLastExecution	overall_last_execution	overall_last_execution	p	timestamp_ntz(6)	1	
Orders	LastAmendTime	last_amend_time	last_amend_time	p	timestamp_ntz(6)	1	
Orders	HospitalizationStatus	hospitalization_status	hospitalization_status	s	varchar(100)	1	Hospitalized
Orders	NetPremium	net_premium	net_premium	f	number(28,14)	1	
Orders	OmsPendingHospitalizationID	oms_pending_hospitalization_id	oms_pending_hospitalization_id	*	varchar(100)	1	
Orders	RouteOrderType	route_order_type	route_order_type	s	varchar(50)	1	e.g. IBKR PP, STRDST
Orders	SettlementType	settlement_type	settlement_type	s	varchar(50)	1	T0,T1,T3 or blank(99%)
Orders	Note	note	note	*	varchar(500)	1	
Orders	CondOrderID	cond_order_id	cond_order_id	*	varchar(100)	1	
Orders	CondOrderQty	cond_order_qty	cond_order_qty	j	number(38,0)	1	
Orders	AllocateToCustodian	allocate_to_custodian	allocate_to_custodian	s	varchar(50)	1	BCS,BNP,GS,JP,ML,MS,SB,SCM,UBS or blank(99%)
Orders	AllocateToAccount	allocate_to_account	allocate_to_account	s	varchar(50)	1	
Orders	CancelledBy	cancelled_by	cancelled_by	s	varchar(50)	1	Broker, Client
Orders	TradingUrgency	trading_urgency	trading_urgency	s	varchar(100)	1	Favorable, NoTrend, Unfavorable
Orders	RelativeIndex	relative_index	relative_index	s	varchar(100)	1	
Orders	RelativeLimit	relative_limit	relative_limit	f	number(28,14)	1	
Orders	RelativeLimitType	relative_limit_type	relative_limit_type	s	varchar(100)	1	ARRIVAL, PNC
Orders	FutSettDate	fut_sett_date	fut_sett_date	d	date	1	
Orders	CloseTargetRate	close_target_rate	close_target_rate	f	number(28,14)	1	
Orders	CloseMaxRate	close_max_rate	close_max_rate	f	number(28,14)	1	
Orders	CloseQuantityExplicit	close_quantity_explicit	close_quantity_explicit	j	number(38,0)	1	
Orders	ExDestination	ex_destination	ex_destination	s	varchar(100)	1	
Orders	CurveProfile	curve_profile	curve_profile	s	varchar(100)	1	SWN10, SWN11, SWN12, SWN13, SWN14, SWN15
Orders	RouteDescription	route_description	route_description	s	varchar(100)	1	
Orders	RouteType	route_type	route_type	s	varchar(50)	1	Broker, Exchange, Internal
Orders	AccountName	account_name	account_name	*	varchar(100)	1	
Orders	TradingGroup	trading_group	trading_group	h	varchar(50)	1	Numeric, 1-37
Orders	Firm	firm	firm	s	varchar(50)	1	
Orders	FirmFinraMember	firm_finra_member	firm_finra_member	s	boolean	1	True/False
Orders	FirmMpid	firm_mpid	firm_mpid	s	varchar(50)	1	
Orders	BrokerMpid	broker_mpid	broker_mpid	s	varchar(50)	1	
Orders	RouteMpid	route_mpid	route_mpid	s	varchar(50)	1	
Orders	RouteOatsCode	route_oats_code	route_oats_code	s	varchar(50)	1	M,XJ,XK,XP,XQ,XU,XV,XY,XZ
Orders	SupportCoverage	support_coverage	support_coverage	s	varchar(50)	1	
Orders	FirmForeignBroker	firm_foreign_broker	firm_foreign_broker	s	boolean	1	True/False
